Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,volatility_1h_30d,volume_to_marketcap,circulating_to_total_supply,momentum_diff_7d_30d
1.0,Bitcoin,BTC,8.59919262959722,0.4,-1.7,1.0,18.4,464949376.1715036,19549806.0,21000000.0,3631980242.400019,18.0,0.12801539246927848,0.9309431428571429,-17.4
2.0,Ethereum,ETH,7.615101178941895,0.5,1.4,1.0,20.7,464949376.1715036,120249015.0,120000000.0,3631980242.400019,20.2,0.12801539246927848,1.002075125,-19.7
3.0,Tether,USDT,0.6931471805599453,0.1,-0.3,-0.1,-0.1,464949376.1715036,88308652879.0,88300000000.0,3631980242.400019,-0.2,0.12801539246927848,1.0000979940996602,0.0
4.0,BNB,BNB,5.449449208551952,-0.1,-12.6,-8.0,5.4,464949376.1715036,153856150.0,154000000.0,3631980242.400019,5.5,0.12801539246927848,0.9990659090909091,-13.4
5.0,XRP,XRP,0.46373401623214017,0.1,-1.9,-6.9,12.1,464949376.1715036,53718306475.0,100000000000.0,3631980242.400019,12.0,0.12801539246927848,0.53718306475,-19.0
6.0,USDC,USDC,0.6931471805599453,0.0,-0.4,0.0,0.0,464949376.1715036,24264590094.0,24300000000.0,3631980242.400019,0.0,0.12801539246927848,0.9985428022222222,0.0
7.0,Solana,SOL,4.024815832903268,0.6,-0.6,-11.4,87.9,464949376.1715036,423104320.0,563000000.0,3631980242.400019,87.30000000000001,0.12801539246927848,0.7515174422735347,-99.30000000000001
8.0,Lido Staked Ether,STETH,7.6132311479781025,0.4,1.5,0.9,20.7,17625537.0,9107771.0,9110000.0,3631980242.400019,20.3,0.004852872489293337,0.999755323819978,-19.8
9.0,Cardano,ADA,0.31481073984003355,0.1,-1.6,0.7,40.1,373277046.0,34964744027.0,45000000000.0,3631980242.400019,40.0,0.1027750761533157,0.7769943117111111,-39.4
10.0,Dogecoin,DOGE,0.06765864847381481,0.1,-2.3,0.1,14.9,464949376.1715036,141935606384.0,142000000000.0,3631980242.400019,14.8,0.12801539246927848,0.999546523830986,-14.8
11.0,TRON,TRX,0.09531017980432487,0.4,-0.9,-4.2,10.5,464949376.1715036,88600097491.0,88600000000.0,3631980242.400019,10.1,0.12801539246927848,1.0000011003498872,-14.7
12.0,Toncoin,TON,1.220829921392359,0.9,0.4,4.1,10.9,27257580.0,3453524566.0,5100000000.0,3631980242.400019,10.0,0.007504881133931538,0.6771616796078431,-6.800000000000001
13.0,Chainlink,LINK,2.725235025856311,0.3,-0.4,-3.5,40.0,464949376.1715036,556849971.0,1000000000.0,3631980242.400019,39.7,0.12801539246927848,0.556849971,-43.5
